eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
ae:00:4a:06:2b:46,42:b4:3f:ed:c9:90,10.0.0.2,10.0.0.5,98,ICMP,0.04962635040283203,0,350,3,6,0.8766106312754416,0.1233893687245586
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,2.9684972763061523,0,0,1,0,0.517986799804565,0.48201320019543514
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,0.05447816848754883,1,84,1,1,0.4594359703156471,0.5405640296843528
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,0.04920458793640137,2,126,1,2,0.5058255081760997,0.4941744918239003
be:28:b3:18:ec:b2,ae:00:4a:06:2b:46,None,None,42,,0.048207759857177734,0,168,2,3,0.5109771155955888,0.48902288440441133
ae:00:4a:06:2b:46,be:28:b3:18:ec:b2,10.0.0.2,10.0.0.6,98,ICMP,0.048937320709228516,0,266,3,4,0.8131768327975674,0.18682316720243258
ae:00:4a:06:2b:46,be:28:b3:18:ec:b2,10.0.0.2,10.0.0.6,98,ICMP,0.04755735397338867,1,364,3,5,0.8583261560828784,0.14167384391712207
ae:00:4a:06:2b:46,be:28:b3:18:ec:b2,10.0.0.2,10.0.0.6,98,ICMP,0.04861736297607422,2,462,3,6,0.8653125629437048,0.1346874370562957
ae:00:4a:06:2b:46,be:28:b3:18:ec:b2,10.0.0.2,10.0.0.6,98,ICMP,0.7062780857086182,3,518,3,6,0.8687195654197861,0.13128043458021427
ae:00:4a:06:2b:46,be:28:b3:18:ec:b2,10.0.0.2,10.0.0.6,98,ICMP,0.05640888214111328,4,574,3,6,0.8765925100783767,0.12340748992162374
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,1.9443211555480957,0,0,1,0,0.517986799804565,0.48201320019543514
ae:00:4a:06:2b:46,ff:ff:ff:ff:ff:ff,None,None,42,,0.05100417137145996,1,84,1,1,0.4594359703156471,0.5405640296843528
