[2023-05-27 05:10:29] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 0.6%, totMEM: 4.3%
[2023-05-27 05:10:32] ryuCPU: 1.0%, ryuMEM: 161.890625 MB, totCPU: 0.0%, totMEM: 4.3%
[2023-05-27 05:10:35] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 0.0%, totMEM: 4.3%
[2023-05-27 05:10:38] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 0.0%, totMEM: 4.3%
[2023-05-27 05:10:41] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 0.2%, totMEM: 4.3%
[2023-05-27 05:10:44] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 1.0%, totMEM: 4.4%
[2023-05-27 05:10:47] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 0.0%, totMEM: 4.4%
[2023-05-27 05:10:50] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 0.0%, totMEM: 4.4%
[2023-05-27 05:10:53] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 0.8%, totMEM: 4.4%
[2023-05-27 05:10:56] ryuCPU: 0.0%, ryuMEM: 161.890625 MB, totCPU: 0.0%, totMEM: 4.4%
[2023-05-27 05:10:59] ryuCPU: 1.0%, ryuMEM: 161.890625 MB, totCPU: 30.2%, totMEM: 4.4%
[2023-05-27 05:11:02] ryuCPU: 100.6%, ryuMEM: 161.890625 MB, totCPU: 12.4%, totMEM: 4.4%
[2023-05-27 05:11:05] ryuCPU: 98.7%, ryuMEM: 161.890625 MB, totCPU: 12.0%, totMEM: 4.4%
[2023-05-27 05:11:08] ryuCPU: 99.8%, ryuMEM: 161.890625 MB, totCPU: 12.6%, totMEM: 4.4%
[2023-05-27 05:11:11] ryuCPU: 99.8%, ryuMEM: 161.890625 MB, totCPU: 40.7%, totMEM: 4.4%
[2023-05-27 05:11:14] ryuCPU: 99.7%, ryuMEM: 161.890625 MB, totCPU: 12.0%, totMEM: 4.4%
[2023-05-27 05:11:17] ryuCPU: 100.6%, ryuMEM: 161.890625 MB, totCPU: 11.1%, totMEM: 4.4%
[2023-05-27 05:11:20] ryuCPU: 99.6%, ryuMEM: 161.890625 MB, totCPU: 12.0%, totMEM: 4.4%
[2023-05-27 05:11:24] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 14.3%, totMEM: 4.4%
[2023-05-27 05:11:27] ryuCPU: 100.5%, ryuMEM: 161.890625 MB, totCPU: 14.1%, totMEM: 4.4%
[2023-05-27 05:11:30] ryuCPU: 100.1%, ryuMEM: 161.890625 MB, totCPU: 15.3%, totMEM: 4.4%
[2023-05-27 05:11:33] ryuCPU: 100.5%, ryuMEM: 161.890625 MB, totCPU: 14.7%, totMEM: 4.4%
[2023-05-27 05:11:36] ryuCPU: 99.7%, ryuMEM: 161.890625 MB, totCPU: 15.7%, totMEM: 4.4%
[2023-05-27 05:11:39] ryuCPU: 100.0%, ryuMEM: 161.890625 MB, totCPU: 17.7%, totMEM: 4.4%
[2023-05-27 05:11:42] ryuCPU: 99.9%, ryuMEM: 161.890625 MB, totCPU: 16.1%, totMEM: 4.4%
[2023-05-27 05:11:45] ryuCPU: 100.2%, ryuMEM: 161.890625 MB, totCPU: 17.0%, totMEM: 4.4%
[2023-05-27 05:11:48] ryuCPU: 99.8%, ryuMEM: 161.890625 MB, totCPU: 16.8%, totMEM: 4.4%
