[2023-05-23 12:22:47] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:22:50] ryuCPU: 1.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:22:53] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:22:56] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:22:59] ryuCPU: 1.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:23:02] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:23:05] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:23:08] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:23:11] ryuCPU: 0.0%, ryuMEM: 204.85546875 MB, totCPU: 0.0%, totMEM: 7.4%
[2023-05-23 12:23:14] ryuCPU: 14.9%, ryuMEM: 204.85546875 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:23:17] ryuCPU: 96.7%, ryuMEM: 204.85546875 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:23:20] ryuCPU: 96.4%, ryuMEM: 204.85546875 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:23:23] ryuCPU: 96.7%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:23:26] ryuCPU: 88.3%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:23:29] ryuCPU: 96.2%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:23:32] ryuCPU: 97.3%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:23:35] ryuCPU: 96.7%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:23:38] ryuCPU: 96.1%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.4%
[2023-05-23 12:23:41] ryuCPU: 95.9%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:23:44] ryuCPU: 95.6%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:23:47] ryuCPU: 95.7%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:23:50] ryuCPU: 95.9%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
[2023-05-23 12:23:53] ryuCPU: 95.2%, ryuMEM: 204.92578125 MB, totCPU: 100.0%, totMEM: 7.5%
