eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
46:f7:f4:0e:02:91,ff:ff:ff:ff:ff:ff,None,None,42,,0,0,0,1,0,0.41390757956725577,0.586092420432744
46:f7:f4:0e:02:91,ff:ff:ff:ff:ff:ff,None,None,42,,0.051988840103149414,1,84,1,1,0.5875332425932274,0.41246675740677263
f2:da:cb:98:a5:d5,46:f7:f4:0e:02:91,None,None,42,,0.04926729202270508,0,126,2,2,0.3806672638302183,0.6193327361697821
46:f7:f4:0e:02:91,f2:da:cb:98:a5:d5,10.0.0.1,10.0.0.2,74,TCP,0.048890113830566406,0,200,3,3,0.8135797968439981,0.18642020315600197
46:f7:f4:0e:02:91,ff:ff:ff:ff:ff:ff,None,None,42,,0.04897594451904297,2,242,3,4,0.9137359851471274,0.0862640148528727
46:f7:f4:0e:02:91,f2:da:cb:98:a5:d5,10.0.0.1,10.0.0.2,66,TCP,0.04894542694091797,1,308,3,5,0.9023455759067218,0.09765442409327856
46:f7:f4:0e:02:91,f2:da:cb:98:a5:d5,10.0.0.1,10.0.0.2,1514,TCP,0.04953408241271973,2,1822,3,6,0.5202169364892119,0.4797830635107879
46:f7:f4:0e:02:91,f2:da:cb:98:a5:d5,10.0.0.1,10.0.0.2,1514,TCP,0.048804283142089844,3,3336,3,7,0.6634041851137672,0.3365958148862325
46:f7:f4:0e:02:91,f2:da:cb:98:a5:d5,10.0.0.1,10.0.0.2,1514,TCP,0.04848480224609375,4,4850,3,8,0.7210399712860235,0.27896002871397596
46:f7:f4:0e:02:91,f2:da:cb:98:a5:d5,10.0.0.1,10.0.0.2,1514,TCP,0.04826164245605469,5,6364,3,9,0.7243733046193569,0.27562669538064266
46:f7:f4:0e:02:91,f2:da:cb:98:a5:d5,10.0.0.1,10.0.0.2,1514,TCP,0.04917287826538086,6,7878,3,10,0.7287066379526902,0.2712933620473093
46:f7:f4:0e:02:91,f2:da:cb:98:a5:d5,10.0.0.1,10.0.0.2,1514,TCP,0.048468828201293945,7,9392,3,11,0.7428784938745462,0.25712150612545337
