eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.1556529998779297,14,1330,7,24,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.04208779335021973,14,1288,6,23,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.015111446380615234,14,1190,5,22,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.18494415283203125,13,1106,4,20,0.97,0.03
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.041124820709228516,13,1008,3,19,0.96,0.04
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.015634775161743164,14,1050,3,20,0.99,0.01
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.16013240814208984,12,924,3,17,0.8307652961933149,0.16923470380668518
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.04004216194152832,13,686,2,14,0.9821770304895894,0.01782296951041062
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.014934301376342773,14,630,1,14,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.09697580337524414,14,630,1,14,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.039011478424072266,13,588,1,13,0.9617431373271998,0.038256862672800034
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.014307022094726562,14,630,1,14,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.010527610778808594,15,672,1,15,0.944675718081617,0.055324281918382755
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009302139282226562,16,714,1,16,0.9571532303151484,0.042846769684851724
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009531497955322266,17,756,1,17,0.9452540909963111,0.054745909003688725
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.1170506477355957,17,756,1,17,0.9452540909963111,0.054745909003688725
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.011986017227172852,18,798,1,18,0.9932071514135938,0.00679284858640603
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009324312210083008,18,798,1,18,0.9932071514135938,0.00679284858640603
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.02126932144165039,18,798,1,18,0.9932071514135938,0.00679284858640603
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009518146514892578,19,840,1,19,0.9939212358351842,0.006078764164815417
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009836912155151367,20,882,1,20,0.9937813215591242,0.006218678440875699
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.154252290725708,20,882,1,20,0.9937813215591242,0.006218678440875699
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.04297280311584473,19,840,1,19,0.9939212358351842,0.006078764164815417
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.015216827392578125,20,882,1,20,0.9937813215591242,0.006218678440875699
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.010749101638793945,21,924,1,21,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009713172912597656,22,966,1,22,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009398221969604492,23,1008,1,23,0.9980120964845592,0.001987903515441127
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.13614106178283691,23,1008,1,23,0.9980120964845592,0.001987903515441127
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.0418848991394043,23,1008,1,23,0.9980120964845592,0.001987903515441127
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.014112710952758789,23,1008,1,23,0.9980120964845592,0.001987903515441127
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009901046752929688,24,1050,1,24,0.9981171724636805,0.0018828275363196123
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009499788284301758,25,1092,1,25,0.9985019605192654,0.0014980394807347604
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009213924407958984,26,1134,1,26,0.9984560669500202,0.0015439330499795504
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.13765811920166016,26,1134,1,26,0.9984560669500202,0.0015439330499795504
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.04157423973083496,25,1092,1,25,0.9985019605192654,0.0014980394807347604
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.015654325485229492,26,1134,1,26,0.9984560669500202,0.0015439330499795504
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.01049041748046875,27,1176,1,27,0.9980453116863565,0.0019546883136439585
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009493827819824219,28,1218,1,28,0.9977451414363674,0.0022548585636324257
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009489297866821289,29,1260,1,29,0.9977717768802711,0.002228223119729025
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.07386207580566406,29,1260,1,29,0.9977717768802711,0.002228223119729025
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.03469705581665039,28,1218,1,28,0.9977451414363674,0.0022548585636324257
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.014646291732788086,28,1218,1,28,0.9977451414363674,0.0022548585636324257
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009604215621948242,28,1218,1,28,0.9977451414363674,0.0022548585636324257
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009784936904907227,28,1218,1,28,0.9977451414363674,0.0022548585636324257
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009532690048217773,29,1260,1,29,0.9977717768802711,0.002228223119729025
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.00909280776977539,30,1302,1,30,0.9954960389183956,0.004503961081604485
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009549379348754883,31,1344,1,31,0.9957402148203951,0.004259785179604964
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009065389633178711,32,1386,1,32,0.9958004648601713,0.004199535139829061
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.08613395690917969,31,1344,1,31,0.9957402148203951,0.004259785179604964
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.016974925994873047,31,1344,1,31,0.9957402148203951,0.004259785179604964
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009583473205566406,32,1386,1,32,0.9958004648601713,0.004199535139829061
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009299993515014648,32,1386,1,32,0.9958004648601713,0.004199535139829061
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009685277938842773,32,1386,1,32,0.9958004648601713,0.004199535139829061
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.010107278823852539,32,1386,1,32,0.9958004648601713,0.004199535139829061
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009303569793701172,33,1428,1,33,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009214162826538086,34,1470,1,34,0.9934787551356368,0.006521244864363047
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009452581405639648,35,1512,1,35,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.14130425453186035,35,1512,1,35,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.0396268367767334,34,1470,1,34,0.9934787551356368,0.006521244864363047
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.014450311660766602,34,1470,1,34,0.9934787551356368,0.006521244864363047
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.010570049285888672,33,1428,1,33,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009278059005737305,34,1470,1,34,0.9934787551356368,0.006521244864363047
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009163379669189453,35,1512,1,35,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.14187288284301758,35,1512,1,35,1.0,0.0
4e:97:14:19:90:f0,ff:ff:ff:ff:ff:ff,None,None,42,,0.04344439506530762,0,1428,2,33,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.014543294906616211,32,1428,2,33,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.010661602020263672,32,1428,2,33,1.0,0.0
4e:97:14:19:90:f0,ff:ff:ff:ff:ff:ff,None,None,42,,0.009664058685302734,1,1470,2,34,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.00901174545288086,33,1512,2,35,1.0,0.0
66:5d:20:7a:14:b2,4e:97:14:19:90:f0,None,None,42,,0.009334564208984375,0,1554,3,36,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009551048278808594,34,1596,3,37,1.0,0.0
4e:97:14:19:90:f0,ff:ff:ff:ff:ff:ff,None,None,42,,0.009865045547485352,2,1638,3,38,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009125232696533203,35,1680,3,39,1.0,0.0
4e:97:14:19:90:f0,66:5d:20:7a:14:b2,10.0.0.2,10.0.0.3,98,ICMP,0.00919485092163086,0,1778,4,40,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.08540678024291992,35,1778,4,40,1.0,0.0
4e:97:14:19:90:f0,ff:ff:ff:ff:ff:ff,None,None,42,,0.020330190658569336,3,1778,4,40,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.013706445693969727,35,1820,4,41,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.010360479354858398,35,1820,4,41,1.0,0.0
4e:97:14:19:90:f0,ff:ff:ff:ff:ff:ff,None,None,42,,0.00976705551147461,4,1820,4,41,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.009055614471435547,34,1820,4,41,1.0,0.0
52:89:b9:c5:5b:84,4e:97:14:19:90:f0,None,None,42,,0.009084701538085938,0,1820,5,41,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.010386943817138672,34,1862,5,42,1.0,0.0
4e:97:14:19:90:f0,ff:ff:ff:ff:ff:ff,None,None,42,,0.009759902954101562,5,1904,5,43,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.008980512619018555,35,1946,5,44,1.0,0.0
4e:97:14:19:90:f0,52:89:b9:c5:5b:84,10.0.0.2,10.0.0.4,98,ICMP,0.008970260620117188,0,2044,6,45,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.08193707466125488,33,1960,6,43,1.0,0.0
e2:d8:fd:9f:89:90,ff:ff:ff:ff:ff:ff,None,None,42,,0.028045177459716797,31,1876,6,41,1.0,0.0
