eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
16:35:ca:37:fa:67,86:ea:89:4a:6c:13,None,None,42,,0.7641353607177734,0,238,2,2,0.7621380859315262,0.23786191406847368
16:35:ca:37:fa:67,86:ea:89:4a:6c:13,None,None,42,,0.04016304016113281,1,280,2,3,0.7636606677206518,0.23633933227934764
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.8223416805267334,0,126,2,2,0.561524902640602,0.43847509735939816
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.03662753105163574,1,168,2,3,0.4840862021535395,0.5159137978464605
16:35:ca:37:fa:67,ff:ff:ff:ff:ff:ff,None,None,42,,0.03354334831237793,2,210,2,4,0.9081879723626045,0.0918120276373953
da:08:cb:a2:f9:60,16:35:ca:37:fa:67,None,None,42,,0.033670902252197266,0,252,3,5,0.9345895389332888,0.06541046106671107
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,10.0.0.2,10.0.0.8,98,ICMP,0.03367352485656738,0,308,4,5,0.9264983009229336,0.07350169907706672
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,10.0.0.2,10.0.0.8,98,ICMP,0.035474538803100586,1,406,4,6,0.9348872765306592,0.06511272346934112
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,10.0.0.2,10.0.0.8,98,ICMP,0.03296303749084473,2,462,3,6,0.9340864107297934,0.06591358927020691
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,10.0.0.2,10.0.0.8,98,ICMP,0.7984788417816162,3,518,3,6,0.9450956098639925,0.054904390136007786
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,10.0.0.2,10.0.0.8,98,ICMP,0.03444528579711914,4,574,3,6,0.9425956098639925,0.05740439013600777
16:35:ca:37:fa:67,9e:61:68:0f:90:a6,None,None,42,,0.6527402400970459,0,238,2,2,0.7598047525981927,0.24019524740180703
16:35:ca:37:fa:67,9e:61:68:0f:90:a6,None,None,42,,0.03557300567626953,1,280,2,3,0.7613273343873185,0.238672665612681
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,10.0.0.2,10.0.0.8,98,ICMP,0.32595205307006836,0,182,2,2,0.6601619711557791,0.3398380288442206
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,10.0.0.2,10.0.0.8,98,ICMP,0.07370138168334961,1,280,2,3,0.8240754022916366,0.17592459770836316
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,None,None,42,,3.1609580516815186,0,0,1,0,0.6892539398142982,0.3107460601857013
16:35:ca:37:fa:67,da:08:cb:a2:f9:60,None,None,42,,0.07356691360473633,1,84,1,1,0.6667155604435977,0.33328443955640163
ce:cd:17:3b:6b:91,ff:ff:ff:ff:ff:ff,None,None,42,,22.213871002197266,0,0,1,0,0.6695084580106707,0.33049154198932945
ce:cd:17:3b:6b:91,ff:ff:ff:ff:ff:ff,None,None,42,,0.03722238540649414,1,84,1,1,0.5851124361669985,0.4148875638330017
a2:15:23:a0:e6:af,ce:cd:17:3b:6b:91,None,None,42,,0.033521413803100586,0,126,2,2,0.34718435274567516,0.6528156472543251
ce:cd:17:3b:6b:91,ff:ff:ff:ff:ff:ff,None,None,42,,0.03554868698120117,2,168,2,3,0.3469420162016869,0.653057983798313
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,197.38.48.0,10.0.0.10,162,ICMP,0.03903532028198242,0,330,3,4,0.05151068722943723,0.9484893127705627
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,226.174.169.149,10.0.0.10,162,ICMP,0.03409409523010254,0,492,4,5,0.04871279761904761,0.9512872023809524
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,50.84.23.212,10.0.0.10,162,ICMP,0.034011125564575195,0,654,5,6,0.04667113095238095,0.953328869047619
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,43.58.105.101,10.0.0.10,162,ICMP,0.03394651412963867,0,816,6,7,0.04800446428571428,0.9519955357142856
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,2.74.234.88,10.0.0.10,162,ICMP,0.033785104751586914,0,978,7,8,0.28947428266178266,0.7105257173382173
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,2.162.166.32,10.0.0.10,162,ICMP,0.03409457206726074,0,1140,8,9,0.28892828699078693,0.7110717130092129
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,237.165.24.30,10.0.0.10,162,ICMP,0.03354024887084961,0,1302,9,10,0.0475,0.9525
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,102.96.162.99,10.0.0.10,162,ICMP,0.0337834358215332,0,1464,10,11,0.050539682539682544,0.9494603174603174
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,53.199.218.107,10.0.0.10,162,ICMP,0.03481245040893555,0,1626,11,12,0.05419940476190477,0.9458005952380952
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,204.88.74.251,10.0.0.10,162,ICMP,0.03408002853393555,0,1788,12,13,0.04731249999999999,0.9526875000000001
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,251.170.74.133,10.0.0.10,162,ICMP,0.03383469581604004,0,1950,13,14,0.0536213924963925,0.9463786075036075
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,218.91.178.199,10.0.0.10,162,ICMP,0.03487277030944824,0,2112,14,15,0.032285714285714286,0.9677142857142857
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,255.48.71.212,10.0.0.10,162,ICMP,0.03399062156677246,0,2274,15,16,0.032285714285714286,0.9677142857142857
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,215.215.196.109,10.0.0.10,162,ICMP,0.034525156021118164,0,2436,16,17,0.03398214285714286,0.9660178571428572
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,174.109.53.157,10.0.0.10,162,ICMP,0.03375887870788574,0,2598,17,18,0.03564880952380953,0.9643511904761906
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,102.191.195.107,10.0.0.10,162,ICMP,0.03388643264770508,0,2760,18,19,0.032857142857142856,0.9671428571428572
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,191.220.197.192,10.0.0.10,162,ICMP,0.03458547592163086,0,2922,19,20,0.03202777777777777,0.9679722222222223
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,28.48.199.92,10.0.0.10,162,ICMP,0.03418445587158203,0,3084,20,21,0.03526190476190476,0.9647380952380954
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,201.96.124.1,10.0.0.10,162,ICMP,0.033738136291503906,0,3246,21,22,0.04757683982683982,0.9524231601731603
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,199.223.102.166,10.0.0.10,162,ICMP,0.03416085243225098,0,3408,22,23,0.034180555555555554,0.9658194444444445
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,199.159.121.161,10.0.0.10,162,ICMP,0.034301042556762695,0,3570,23,24,0.033624999999999995,0.966375
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,48.103.218.223,10.0.0.10,162,ICMP,0.03476834297180176,0,3732,24,25,0.033125,0.966875
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,69.166.206.75,10.0.0.10,162,ICMP,0.03443551063537598,0,3894,25,26,0.033125,0.966875
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,255.3.107.83,10.0.0.10,162,ICMP,0.037310123443603516,0,4056,26,27,0.033125,0.966875
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,250.38.57.205,10.0.0.10,162,ICMP,0.035650014877319336,0,4218,27,28,0.033125,0.966875
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,49.102.109.128,10.0.0.10,162,ICMP,0.034751176834106445,0,4338,28,28,0.033125,0.966875
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,169.3.108.147,10.0.0.10,162,ICMP,0.03412175178527832,0,4458,29,28,0.033125,0.966875
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,37.74.21.100,10.0.0.10,162,ICMP,0.03399348258972168,0,4578,29,28,0.033125,0.966875
ce:cd:17:3b:6b:91,a2:15:23:a0:e6:af,87.159.50.250,10.0.0.10,162,ICMP,0.03363299369812012,0,4740,30,29,0.033125,0.966875
