eth.src,eth.dst,ip.src,ip.dst,frame.len,_ws.col.Protocol,frame_time_delta,identical_packets_per_second,bytes_per_second,unique_packets_per_second,packet_arrival_rate,probability_1,probability_2
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.05255722999572754,12,1246,7,22,0.9876874999999999,0.012312499999999999
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.033313751220703125,13,1288,7,23,0.9883124999999999,0.0116875
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03325796127319336,14,1330,7,24,0.9883124999999999,0.0116875
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.14443349838256836,14,1330,7,24,0.9883124999999999,0.0116875
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.06624817848205566,14,1330,7,24,0.9883124999999999,0.0116875
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03225231170654297,15,1330,6,24,0.9883124999999999,0.0116875
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.09656190872192383,14,1190,5,22,0.9876874999999999,0.012312499999999999
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.052993059158325195,14,1148,4,21,0.9888541666666667,0.011145833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03250885009765625,14,1148,4,21,0.9888541666666667,0.011145833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.144805908203125,13,1008,3,19,0.9933541666666668,0.006645833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.06686878204345703,13,966,3,18,0.9933541666666668,0.006645833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03195834159851074,14,966,3,18,0.9933541666666668,0.006645833333333334
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.10039949417114258,14,826,2,16,0.9931979166666668,0.0068020833333333345
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03382611274719238,15,770,2,16,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03420829772949219,15,770,2,16,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03247499465942383,16,714,1,16,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.033072710037231445,16,714,1,16,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03466033935546875,16,714,1,16,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03355216979980469,16,714,1,16,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.035077810287475586,16,714,1,16,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03316545486450195,17,756,1,17,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03336763381958008,18,798,1,18,0.9923645833333334,0.007635416666666667
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03229331970214844,19,840,1,19,0.9931979166666668,0.0068020833333333345
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.032318115234375,20,882,1,20,0.9931979166666668,0.0068020833333333345
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.0339055061340332,20,882,1,20,0.9931979166666668,0.0068020833333333345
7a:c4:49:d7:23:b9,ff:ff:ff:ff:ff:ff,None,None,42,,0.03368234634399414,21,924,1,21,0.9931979166666668,0.0068020833333333345
